Crime Category,Crime ID,Month,Latitude,Location,Longitude,Outcome,Outcome Date
Anti social behaviour,104778042,2022-09,51.486807,On or near St George's Square Mews,-0.133480,,
Anti social behaviour,104778041,2022-09,51.486807,On or near St George's Square Mews,-0.133480,,
Anti social behaviour,104775746,2022-09,51.512802,On or near James Street,-0.123770,,
Anti social behaviour,104775748,2022-09,51.512802,On or near James Street,-0.123770,,
Anti social behaviour,104775756,2022-09,51.514600,On or near Keeley Street,-0.120338,,
Anti social behaviour,104775757,2022-09,51.514600,On or near Keeley Street,-0.120338,,
Anti social behaviour,104775758,2022-09,51.510042,On or near Savoy Way,-0.120439,,
Anti social behaviour,104775759,2022-09,51.511022,On or near Strand,-0.119880,,
Anti social behaviour,104775761,2022-09,51.513477,On or near ,-0.119880,,
Anti social behaviour,104775853,2022-09,51.490665,On or near Pimlico Road,-0.152250,,
Anti social behaviour,104775852,2022-09,51.508868,On or near Balfour Place,-0.152350,,
Anti social behaviour,104775851,2022-09,51.495888,On or near Lyall Street,-0.154402,,
Anti social behaviour,104775850,2022-09,51.495888,On or near Lyall Street,-0.154402,,
Anti social behaviour,104775849,2022-09,51.512994,On or near North Audley Street,-0.153408,,
Anti social behaviour,104775844,2022-09,51.514052,On or near ,-0.154345,,
Anti social behaviour,104775843,2022-09,51.514052,On or near ,-0.154345,,
Anti social behaviour,104775775,2022-09,51.512449,On or near Surrey Street,-0.115772,,
Anti social behaviour,104775774,2022-09,51.512449,On or near Surrey Street,-0.115772,,
Anti social behaviour,104775773,2022-09,51.515447,On or near Serle Street,-0.114293,,
Anti social behaviour,104775770,2022-09,51.512449,On or near Surrey Street,-0.115772,,
Anti social behaviour,104775766,2022-09,51.512059,On or near A301,-0.118929,,
Anti social behaviour,104775765,2022-09,51.512059,On or near A301,-0.118929,,
Anti social behaviour,104775760,2022-09,51.512408,On or near Catherine Street,-0.119910,,
Anti social behaviour,104775755,2022-09,51.513715,On or near Drury Lane,-0.120101,,
Anti social behaviour,104775754,2022-09,51.511096,On or near Southampton Street,-0.122226,,
Anti social behaviour,104775753,2022-09,51.500978,On or near Bridge Street,-0.125524,,
Anti social behaviour,104775752,2022-09,51.511622,On or near Covent Garden,-0.122507,,
Anti social behaviour,104775751,2022-09,51.513046,On or near ,-0.122679,,
Anti social behaviour,104775750,2022-09,51.511111,On or near Henrietta Street,-0.123710,,
Anti social behaviour,104775749,2022-09,51.511111,On or near Henrietta Street,-0.123710,,
Anti social behaviour,104775747,2022-09,51.512802,On or near James Street,-0.123770,,
Anti social behaviour,104775741,2022-09,51.500253,On or near St Margaret Street,-0.126317,,
Anti social behaviour,104775740,2022-09,51.513205,On or near Long Acre,-0.124229,,
Anti social behaviour,104775739,2022-09,51.513205,On or near Long Acre,-0.124229,,
Anti social behaviour,104775734,2022-09,51.510389,On or near Bedford Street,-0.124157,,
Anti social behaviour,104775733,2022-09,51.500253,On or near St Margaret Street,-0.126317,,
Anti social behaviour,104775732,2022-09,51.498185,On or near Abingdon Street,-0.125739,,
Anti social behaviour,104775256,2022-09,51.507182,On or near Craven Street,-0.124332,,
Anti social behaviour,104775255,2022-09,51.506138,On or near Whitehall Place,-0.124836,,
Anti social behaviour,104775253,2022-09,51.506985,On or near Northumberland Avenue,-0.124975,,
Anti social behaviour,104775247,2022-09,51.506736,On or near Craig's Court,-0.126800,,
Anti social behaviour,104775246,2022-09,51.509491,On or near William Iv Street,-0.125924,,
Anti social behaviour,104775243,2022-09,51.500211,On or near A302,-0.126492,,
Anti social behaviour,104775242,2022-09,51.509491,On or near William Iv Street,-0.125924,,
Anti social behaviour,104775241,2022-09,51.496940,On or near Lord North Street,-0.127159,,
Anti social behaviour,104775762,2022-09,51.510042,On or near Savoy Way,-0.120439,,
Anti social behaviour,104775763,2022-09,51.511022,On or near Strand,-0.119880,,
Anti social behaviour,104775240,2022-09,51.496940,On or near Lord North Street,-0.127159,,
Anti social behaviour,104775239,2022-09,51.503196,On or near Downing Street,-0.127032,,
Anti social behaviour,104775236,2022-09,51.510623,On or near St Martin's Lane,-0.126987,,
Anti social behaviour,104775235,2022-09,51.510623,On or near St Martin's Lane,-0.126987,,
Anti social behaviour,104775234,2022-09,51.510623,On or near St Martin's Lane,-0.126987,,
Anti social behaviour,104775228,2022-09,51.511856,On or near Great Newport Street,-0.127570,,
Anti social behaviour,104775227,2022-09,51.509944,On or near ,-0.127807,,
Anti social behaviour,104775226,2022-09,51.510900,On or near ,-0.127984,,
Anti social behaviour,104775767,2022-09,51.514064,On or near Kean Street,-0.118890,,
Anti social behaviour,104775768,2022-09,51.514064,On or near Kean Street,-0.118890,,
Anti social behaviour,104775224,2022-09,51.491897,On or near Bulinga Street,-0.128446,,
Anti social behaviour,104775223,2022-09,51.491897,On or near Bulinga Street,-0.128446,,
Anti social behaviour,104775222,2022-09,51.511856,On or near Great Newport Street,-0.127570,,
Anti social behaviour,104775221,2022-09,51.507394,On or near Charing Cross,-0.128042,,
Anti social behaviour,104775219,2022-09,51.507394,On or near Charing Cross,-0.128042,,
Anti social behaviour,104775217,2022-09,51.507394,On or near Charing Cross,-0.128042,,
Anti social behaviour,104775216,2022-09,51.493937,On or near Page Street,-0.129472,,
Anti social behaviour,104775215,2022-09,51.493937,On or near Page Street,-0.129472,,
Anti social behaviour,104775214,2022-09,51.512300,On or near ,-0.128388,,
Anti social behaviour,104775211,2022-09,51.490552,On or near ,-0.129257,,
Anti social behaviour,104775769,2022-09,51.514064,On or near Kean Street,-0.118890,,
Anti social behaviour,104775771,2022-09,51.514044,On or near ,-0.117666,,
Anti social behaviour,104775207,2022-09,51.488845,On or near Bessborough Gardens,-0.129867,,
Anti social behaviour,104775206,2022-09,51.488845,On or near Bessborough Gardens,-0.129867,,
Anti social behaviour,104775205,2022-09,51.510272,On or near ,-0.129192,,
Anti social behaviour,104775204,2022-09,51.491081,On or near Herrick Street,-0.129704,,
Anti social behaviour,104775201,2022-09,51.509064,On or near ,-0.130120,,
Anti social behaviour,104775199,2022-09,51.496941,On or near ,-0.130617,,
Anti social behaviour,104775198,2022-09,51.496941,On or near ,-0.130617,,
Anti social behaviour,104775197,2022-09,51.496941,On or near ,-0.130617,,
Anti social behaviour,104775196,2022-09,51.513848,On or near Old Compton Street,-0.129593,,
Anti social behaviour,104775194,2022-09,51.490618,On or near Cureton Street,-0.130558,,
Anti social behaviour,104775193,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775190,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775189,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775187,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775186,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775184,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775176,2022-09,51.510468,On or near Leicester Square,-0.130769,,
Anti social behaviour,104775171,2022-09,51.494214,On or near Rutherford Street,-0.132716,,
Anti social behaviour,104775170,2022-09,51.494214,On or near Rutherford Street,-0.132716,,
Anti social behaviour,104775169,2022-09,51.494214,On or near Rutherford Street,-0.132716,,
Anti social behaviour,104775167,2022-09,51.498335,On or near Abbey Orchard Street,-0.131193,,
Anti social behaviour,104775112,2022-09,51.498997,On or near ,-0.157100,,
Anti social behaviour,104775110,2022-09,51.501793,On or near Sloane Street,-0.160532,,
Anti social behaviour,104775109,2022-09,51.500090,On or near Trevor Square,-0.164303,,
Anti social behaviour,104775107,2022-09,51.500095,On or near Exhibition Road,-0.174460,,
Anti social behaviour,104775106,2022-09,51.501567,On or near Kensington Road,-0.177168,,
Anti social behaviour,104775772,2022-09,51.511301,On or near ,-0.115963,,
Anti social behaviour,104775115,2022-09,51.498997,On or near ,-0.157100,,
Anti social behaviour,104775776,2022-09,51.512449,On or near Surrey Street,-0.115772,,
Anti social behaviour,104783642,2022-09,51.503196,On or near Downing Street,-0.127032,,
Anti social behaviour,104772710,2022-09,51.523513,On or near Warren Street,-0.142445,,
Anti social behaviour,104789213,2022-09,51.529784,On or near B450,-0.215674,,
Anti social behaviour,104782640,2022-09,51.517684,On or near Thayer Street,-0.151474,,
Anti social behaviour,104782639,2022-09,51.521724,On or near Oldbury Place,-0.152161,,
Anti social behaviour,104782626,2022-09,51.515206,On or near Portman Square,-0.155711,,
Anti social behaviour,104782625,2022-09,51.519214,On or near Broadstone Place,-0.155549,,
Anti social behaviour,104782667,2022-09,51.518543,On or near Nassau Street,-0.138669,,
Anti social behaviour,104782651,2022-09,51.517741,On or near Langham Place,-0.143126,,
Anti social behaviour,104782650,2022-09,51.523320,On or near ,-0.143908,,
Anti social behaviour,104782641,2022-09,51.517684,On or near Thayer Street,-0.151474,,
Anti social behaviour,104781803,2022-09,51.514328,On or near Bryanston Street,-0.158182,,
Anti social behaviour,104781755,2022-09,51.525009,On or near Rossmore Road,-0.164973,,
Anti social behaviour,104780938,2022-09,51.512469,On or near Inverness Mews,-0.187181,,
Anti social behaviour,104781753,2022-09,51.520213,On or near Harcourt Street,-0.165324,,
Anti social behaviour,104780912,2022-09,51.517423,On or near Westbourne Gardens,-0.190040,,
Anti social behaviour,104780885,2022-09,51.520233,On or near ,-0.191529,,
Anti social behaviour,104780870,2022-09,51.515183,On or near Monmouth Road,-0.192896,,
Anti social behaviour,104779656,2022-09,51.528559,On or near Fernhead Road,-0.201420,,
Anti social behaviour,104779609,2022-09,51.529784,On or near B450,-0.215674,,
Anti social behaviour,104779608,2022-09,51.529784,On or near B450,-0.215674,,
Anti social behaviour,104782689,2022-09,51.516623,On or near ,-0.132976,,
Anti social behaviour,104782685,2022-09,51.517596,On or near Newman Street,-0.135680,,
Anti social behaviour,104782669,2022-09,51.516618,On or near ,-0.139226,,
Anti social behaviour,104779682,2022-09,51.525755,On or near Chippenham Road,-0.197408,,
