date,metric,value
2007 Q1,Fixed rate loans,5.34
2007 Q2,Fixed rate loans,5.53
2007 Q3,Fixed rate loans,5.77
2007 Q4,Fixed rate loans,6.02
2008 Q1,Fixed rate loans,5.92
2008 Q2,Fixed rate loans,5.81
2008 Q3,Fixed rate loans,6.08
2008 Q4,Fixed rate loans,6.02
2009 Q1,Fixed rate loans,5.17
2009 Q2,Fixed rate loans,4.68
2009 Q3,Fixed rate loans,4.76
2009 Q4,Fixed rate loans,4.96
2010 Q1,Fixed rate loans,4.88
2010 Q2,Fixed rate loans,4.66
2010 Q3,Fixed rate loans,4.50
2010 Q4,Fixed rate loans,4.32
2011 Q1,Fixed rate loans,4.18
2011 Q2,Fixed rate loans,4.39
2011 Q3,Fixed rate loans,4.20
2011 Q4,Fixed rate loans,3.88
2012 Q1,Fixed rate loans,3.92
2012 Q2,Fixed rate loans,4.17
2012 Q3,Fixed rate loans,4.30
2012 Q4,Fixed rate loans,4.06
2013 Q1,Fixed rate loans,3.73
2013 Q2,Fixed rate loans,3.50
2013 Q3,Fixed rate loans,3.32
2013 Q4,Fixed rate loans,3.22
2014 Q1,Fixed rate loans,3.22
2014 Q2,Fixed rate loans,3.27
2014 Q3,Fixed rate loans,3.36
2014 Q4,Fixed rate loans,3.31
2015 Q1,Fixed rate loans,3.01
2015 Q2,Fixed rate loans,2.81
2015 Q3,Fixed rate loans,2.68
2015 Q4,Fixed rate loans,2.62
2016 Q1,Fixed rate loans,2.53
2016 Q2,Fixed rate loans,2.52
2016 Q3,Fixed rate loans,2.45
2016 Q4,Fixed rate loans,2.30
2017 Q1,Fixed rate loans,2.21
2017 Q2,Fixed rate loans,2.21
2017 Q3,Fixed rate loans,2.13
2017 Q4,Fixed rate loans,2.11
2018 Q1,Fixed rate loans,2.11
2018 Q2,Fixed rate loans,2.20
2018 Q3,Fixed rate loans,2.23
2018 Q4,Fixed rate loans,2.23
2019 Q1,Fixed rate loans,2.24
2019 Q2,Fixed rate loans,2.23
2019 Q3,Fixed rate loans,2.18
2019 Q4,Fixed rate loans,2.10
2020 Q1,Fixed rate loans,2.02
2020 Q2,Fixed rate loans,1.93
2020 Q3,Fixed rate loans,1.91
2020 Q4,Fixed rate loans,2.04
2021 Q1,Fixed rate loans,2.16
2021 Q2,Fixed rate loans,2.19
2021 Q3,Fixed rate loans,2.13
2021 Q4,Fixed rate loans,1.88
2022 Q1,Fixed rate loans,1.84
2022 Q2,Fixed rate loans,2.13
2007 Q1,Variable rate loans,5.77
2007 Q2,Variable rate loans,5.94
2007 Q3,Variable rate loans,6.16
2007 Q4,Variable rate loans,6.08
2008 Q1,Variable rate loans,5.83
2008 Q2,Variable rate loans,5.77
2008 Q3,Variable rate loans,6.05
2008 Q4,Variable rate loans,4.28
2009 Q1,Variable rate loans,2.86
2009 Q2,Variable rate loans,2.66
2009 Q3,Variable rate loans,2.81
2009 Q4,Variable rate loans,2.88
2010 Q1,Variable rate loans,3.13
2010 Q2,Variable rate loans,3.13
2010 Q3,Variable rate loans,3.10
2010 Q4,Variable rate loans,2.93
2011 Q1,Variable rate loans,2.93
2011 Q2,Variable rate loans,2.92
2011 Q3,Variable rate loans,2.77
2011 Q4,Variable rate loans,2.82
2012 Q1,Variable rate loans,2.75
2012 Q2,Variable rate loans,3.08
2012 Q3,Variable rate loans,3.19
2012 Q4,Variable rate loans,3.14
2013 Q1,Variable rate loans,3.10
2013 Q2,Variable rate loans,2.92
2013 Q3,Variable rate loans,2.84
2013 Q4,Variable rate loans,2.74
2014 Q1,Variable rate loans,2.66
2014 Q2,Variable rate loans,2.57
2014 Q3,Variable rate loans,2.56
2014 Q4,Variable rate loans,2.47
2015 Q1,Variable rate loans,2.28
2015 Q2,Variable rate loans,2.20
2015 Q3,Variable rate loans,2.17
2015 Q4,Variable rate loans,2.20
2016 Q1,Variable rate loans,2.28
2016 Q2,Variable rate loans,2.16
2016 Q3,Variable rate loans,2.05
2016 Q4,Variable rate loans,2.02
2017 Q1,Variable rate loans,2.21
2017 Q2,Variable rate loans,2.20
2017 Q3,Variable rate loans,2.15
2017 Q4,Variable rate loans,2.27
2018 Q1,Variable rate loans,2.32
2018 Q2,Variable rate loans,2.47
2018 Q3,Variable rate loans,2.42
2018 Q4,Variable rate loans,2.45
2019 Q1,Variable rate loans,2.48
2019 Q2,Variable rate loans,2.40
2019 Q3,Variable rate loans,2.43
2019 Q4,Variable rate loans,2.37
2020 Q1,Variable rate loans,2.19
2020 Q2,Variable rate loans,1.76
2020 Q3,Variable rate loans,1.81
2020 Q4,Variable rate loans,2.01
2021 Q1,Variable rate loans,2.08
2021 Q2,Variable rate loans,2.16
2021 Q3,Variable rate loans,2.21
2021 Q4,Variable rate loans,2.16
2022 Q1,Variable rate loans,2.35
2022 Q2,Variable rate loans,2.80
