year,type,production
1980,Coal,80.11
1981,Coal,80.46
1982,Coal,83.40
1983,Coal,83.69
1984,Coal,87.67
1985,Coal,91.68
1986,Coal,94.04
1987,Coal,96.27
1988,Coal,98.48
1989,Coal,99.70
1990,Coal,99.11
1991,Coal,94.64
1992,Coal,92.56
1993,Coal,89.79
1994,Coal,91.52
1995,Coal,93.04
1996,Coal,95.01
1997,Coal,95.15
1998,Coal,94.86
1999,Coal,93.43
2000,Coal,96.35
2001,Coal,100.62
2002,Coal,101.54
2003,Coal,109.18
2004,Coal,117.94
2005,Coal,125.84
2006,Coal,132.82
2007,Coal,138.74
2008,Coal,143.32
2009,Coal,145.06
2010,Coal,156.21
2011,Coal,164.67
2012,Coal,169.35
2013,Coal,172.12
2014,Coal,171.97
2015,Coal,168.04
2016,Coal,158.12
2017,Coal,162.70
2018,Coal,169.01
2019,Coal,172.88
1980,Natural gas,54.76
1981,Natural gas,55.57
1982,Natural gas,55.50
1983,Natural gas,56.12
1984,Natural gas,61.76
1985,Natural gas,64.12
1986,Natural gas,65.33
1987,Natural gas,68.46
1988,Natural gas,71.85
1989,Natural gas,74.28
1990,Natural gas,75.71
1991,Natural gas,76.55
1992,Natural gas,76.98
1993,Natural gas,78.26
1994,Natural gas,79.10
1995,Natural gas,80.26
1996,Natural gas,82.47
1997,Natural gas,82.67
1998,Natural gas,84.25
1999,Natural gas,86.18
2000,Natural gas,89.28
2001,Natural gas,91.07
2002,Natural gas,93.02
2003,Natural gas,96.02
2004,Natural gas,98.69
2005,Natural gas,102.05
2006,Natural gas,105.96
2007,Natural gas,108.25
2008,Natural gas,111.66
2009,Natural gas,109.56
2010,Natural gas,116.95
2011,Natural gas,121.00
2012,Natural gas,123.53
2013,Natural gas,125.03
2014,Natural gas,126.99
2015,Natural gas,129.64
2016,Natural gas,130.88
2017,Natural gas,137.20
2018,Natural gas,144.78
2019,Natural gas,149.43
1980,Nuclear,7.58
1981,Nuclear,8.53
1982,Nuclear,9.51
1983,Nuclear,10.73
1984,Nuclear,13.00
1985,Nuclear,15.31
1986,Nuclear,16.26
1987,Nuclear,17.66
1988,Nuclear,19.24
1989,Nuclear,19.75
1990,Nuclear,20.37
1991,Nuclear,21.20
1992,Nuclear,21.29
1993,Nuclear,22.02
1994,Nuclear,22.42
1995,Nuclear,23.27
1996,Nuclear,24.12
1997,Nuclear,23.89
1998,Nuclear,24.32
1999,Nuclear,25.09
2000,Nuclear,25.67
2001,Nuclear,26.40
2002,Nuclear,26.69
2003,Nuclear,26.31
2004,Nuclear,27.26
2005,Nuclear,27.32
2006,Nuclear,27.69
2007,Nuclear,27.18
2008,Nuclear,27.05
2009,Nuclear,26.66
2010,Nuclear,27.37
2011,Nuclear,26.25
2012,Nuclear,24.50
2013,Nuclear,24.65
2014,Nuclear,25.25
2015,Nuclear,25.52
2016,Nuclear,25.92
2017,Nuclear,26.21
2018,Nuclear,26.76
2019,Nuclear,27.83
1980,Renewables & other,20.78
1981,Renewables & other,21.29
1982,Renewables & other,21.96
1983,Renewables & other,23.26
1984,Renewables & other,23.95
1985,Renewables & other,24.23
1986,Renewables & other,24.59
1987,Renewables & other,24.60
1988,Renewables & other,25.36
1989,Renewables & other,25.79
1990,Renewables & other,26.26
1991,Renewables & other,26.87
1992,Renewables & other,26.93
1993,Renewables & other,28.16
1994,Renewables & other,28.63
1995,Renewables & other,29.98
1996,Renewables & other,30.58
1997,Renewables & other,30.94
1998,Renewables & other,30.88
1999,Renewables & other,31.50
2000,Renewables & other,31.92
2001,Renewables & other,31.56
2002,Renewables & other,31.88
2003,Renewables & other,32.28
2004,Renewables & other,34.26
2005,Renewables & other,35.99
2006,Renewables & other,37.45
2007,Renewables & other,38.82
2008,Renewables & other,41.48
2009,Renewables & other,42.73
2010,Renewables & other,46.32
2011,Renewables & other,48.38
2012,Renewables & other,50.36
2013,Renewables & other,54.16
2014,Renewables & other,56.63
2015,Renewables & other,57.68
2016,Renewables & other,60.99
2017,Renewables & other,64.41
2018,Renewables & other,67.88
2019,Renewables & other,69.58
