ISO3,Household,Measure,Year,Hours,Country
AUT,Single - 2 Child,67% Average Wage,2022,31,Austria
AUT,Single - No Child,67% Average Wage,2022,21,Austria
AUT,Couple - 2 Child,67% Average Wage,2022,38,Austria
AUT,Couple - No Child,67% Average Wage,2022,35,Austria
AUT,Single - 2 Child,Average Wage,2022,20,Austria
AUT,Single - No Child,Average Wage,2022,14,Austria
AUT,Couple - 2 Child,Average Wage,2022,25,Austria
AUT,Couple - No Child,Average Wage,2022,23,Austria
BEL,Single - 2 Child,67% Average Wage,2022,23,Belgium
BEL,Single - No Child,67% Average Wage,2022,17,Belgium
BEL,Couple - 2 Child,67% Average Wage,2022,29,Belgium
BEL,Couple - No Child,67% Average Wage,2022,24,Belgium
BEL,Single - 2 Child,Average Wage,2022,15,Belgium
BEL,Single - No Child,Average Wage,2022,11,Belgium
BEL,Couple - 2 Child,Average Wage,2022,19,Belgium
BEL,Couple - No Child,Average Wage,2022,16,Belgium
BEL,Single - 2 Child,Minimum Wage,2022,42,Belgium
BEL,Single - No Child,Minimum Wage,2022,31,Belgium
BEL,Couple - 2 Child,Minimum Wage,2022,52,Belgium
CZE,Single - 2 Child,67% Average Wage,2022,39,Czech Republic
CZE,Single - No Child,67% Average Wage,2022,27,Czech Republic
CZE,Couple - 2 Child,67% Average Wage,2022,44,Czech Republic
CZE,Couple - No Child,67% Average Wage,2022,38,Czech Republic
CZE,Single - 2 Child,Average Wage,2022,26,Czech Republic
CZE,Single - No Child,Average Wage,2022,18,Czech Republic
CZE,Couple - 2 Child,Average Wage,2022,30,Czech Republic
CZE,Couple - No Child,Average Wage,2022,26,Czech Republic
CZE,Single - 2 Child,Minimum Wage,2022,63,Czech Republic
CZE,Single - No Child,Minimum Wage,2022,43,Czech Republic
CZE,Couple - 2 Child,Minimum Wage,2022,71,Czech Republic
DNK,Single - 2 Child,67% Average Wage,2022,19,Denmark
DNK,Single - No Child,67% Average Wage,2022,26,Denmark
DNK,Couple - 2 Child,67% Average Wage,2022,0,Denmark
DNK,Couple - No Child,67% Average Wage,2022,0,Denmark
DNK,Single - 2 Child,Average Wage,2022,17,Denmark
DNK,Single - No Child,Average Wage,2022,17,Denmark
DNK,Couple - 2 Child,Average Wage,2022,0,Denmark
DNK,Couple - No Child,Average Wage,2022,0,Denmark
FIN,Single - 2 Child,67% Average Wage,2022,24,Finland
FIN,Single - No Child,67% Average Wage,2022,19,Finland
FIN,Couple - 2 Child,67% Average Wage,2022,42,Finland
FIN,Couple - No Child,67% Average Wage,2022,30,Finland
FIN,Single - 2 Child,Average Wage,2022,16,Finland
FIN,Single - No Child,Average Wage,2022,13,Finland
FIN,Couple - 2 Child,Average Wage,2022,28,Finland
FIN,Couple - No Child,Average Wage,2022,20,Finland
FRA,Single - 2 Child,67% Average Wage,2022,23,France
FRA,Single - No Child,67% Average Wage,2022,17,France
FRA,Couple - 2 Child,67% Average Wage,2022,28,France
FRA,Couple - No Child,67% Average Wage,2022,21,France
FRA,Single - 2 Child,Average Wage,2022,16,France
FRA,Single - No Child,Average Wage,2022,11,France
FRA,Couple - 2 Child,Average Wage,2022,18,France
FRA,Couple - No Child,Average Wage,2022,14,France
FRA,Single - 2 Child,Minimum Wage,2022,34,France
FRA,Single - No Child,Minimum Wage,2022,24,France
FRA,Couple - 2 Child,Minimum Wage,2022,40,France
DEU,Single - 2 Child,67% Average Wage,2022,15,Germany
DEU,Single - No Child,67% Average Wage,2022,20,Germany
DEU,Couple - 2 Child,67% Average Wage,2022,24,Germany
DEU,Couple - No Child,67% Average Wage,2022,27,Germany
DEU,Single - 2 Child,Average Wage,2022,10,Germany
DEU,Single - No Child,Average Wage,2022,14,Germany
DEU,Couple - 2 Child,Average Wage,2022,16,Germany
DEU,Couple - No Child,Average Wage,2022,18,Germany
DEU,Single - 2 Child,Minimum Wage,2022,27,Germany
DEU,Single - No Child,Minimum Wage,2022,36,Germany
DEU,Couple - 2 Child,Minimum Wage,2022,43,Germany
HUN,Single - 2 Child,67% Average Wage,2022,24,Hungary
HUN,Single - No Child,67% Average Wage,2022,21,Hungary
HUN,Couple - 2 Child,67% Average Wage,2022,30,Hungary
HUN,Couple - No Child,67% Average Wage,2022,29,Hungary
HUN,Single - 2 Child,Average Wage,2022,16,Hungary
HUN,Single - No Child,Average Wage,2022,14,Hungary
HUN,Couple - 2 Child,Average Wage,2022,20,Hungary
HUN,Couple - No Child,Average Wage,2022,20,Hungary
HUN,Single - 2 Child,Minimum Wage,2022,40,Hungary
HUN,Single - No Child,Minimum Wage,2022,35,Hungary
HUN,Couple - 2 Child,Minimum Wage,2022,50,Hungary
