Date,Unemployment,Wage
1979-01-01,5.9,335
1979-04-01,5.7,335
1979-07-01,5.9,330
1979-10-01,6.0,326
1980-01-01,6.3,321
1980-04-01,7.3,315
1980-07-01,7.7,319
1980-10-01,7.4,315
1981-01-01,7.4,314
1981-04-01,7.4,311
1981-07-01,7.4,309
1981-10-01,8.2,312
1982-01-01,8.8,312
1982-04-01,9.4,314
1982-07-01,9.9,311
1982-10-01,10.7,313
1983-01-01,10.4,315
1983-04-01,10.1,314
1983-07-01,9.4,315
1983-10-01,8.5,312
1984-01-01,7.9,313
1984-04-01,7.4,312
1984-07-01,7.4,313
1984-10-01,7.3,316
1985-01-01,7.2,314
1985-04-01,7.3,323
1985-07-01,7.2,320
1985-10-01,7.0,320
1986-01-01,7.0,321
1986-04-01,7.2,328
1986-07-01,7.0,328
1986-10-01,6.8,331
1987-01-01,6.6,328
1987-04-01,6.3,328
1987-07-01,6.0,330
1987-10-01,5.8,328
1988-01-01,5.7,329
1988-04-01,5.5,325
1988-07-01,5.5,325
1988-10-01,5.3,324
1989-01-01,5.2,323
1989-04-01,5.2,322
1989-07-01,5.2,322
1989-10-01,5.4,322
1990-01-01,5.3,319
1990-04-01,5.3,319
1990-07-01,5.7,313
1990-10-01,6.1,312
1991-01-01,6.6,316
1991-04-01,6.8,312
1991-07-01,6.9,312
1991-10-01,7.1,313
1992-01-01,7.4,315
1992-04-01,7.6,313
1992-07-01,7.6,314
1992-10-01,7.4,312
1993-01-01,7.1,315
1993-04-01,7.1,317
1993-07-01,6.8,319
1993-10-01,6.6,319
1994-01-01,6.6,316
1994-04-01,6.2,317
1994-07-01,6.0,314
1994-10-01,5.6,314
1995-01-01,5.5,313
1995-04-01,5.7,314
1995-07-01,5.7,317
1995-10-01,5.6,313
1996-01-01,5.5,312
1996-04-01,5.5,312
1996-07-01,5.3,314
1996-10-01,5.3,313
1997-01-01,5.2,313
1997-04-01,5.0,314
1997-07-01,4.9,314
1997-10-01,4.7,314
1998-01-01,4.6,319
1998-04-01,4.4,319
1998-07-01,4.5,321
1998-10-01,4.4,328
1999-01-01,4.3,324
1999-04-01,4.3,329
1999-07-01,4.2,330
1999-10-01,4.1,335
2000-01-01,4.0,334
2000-04-01,3.9,334
2000-07-01,4.0,335
2000-10-01,3.9,334
2001-01-01,4.2,333
2001-04-01,4.4,336
2001-07-01,4.8,338
2001-10-01,5.5,340
2002-01-01,5.7,341
2002-04-01,5.8,339
2002-07-01,5.7,337
2002-10-01,5.9,336
2003-01-01,5.9,335
2003-04-01,6.1,338
2003-07-01,6.1,337
2003-10-01,5.8,337
2004-01-01,5.7,337
2004-04-01,5.6,341
2004-07-01,5.4,335
2004-10-01,5.4,337
2005-01-01,5.3,336
2005-04-01,5.1,334
2005-07-01,5.0,331
2005-10-01,5.0,332
2006-01-01,4.7,332
2006-04-01,4.6,329
2006-07-01,4.6,334
2006-10-01,4.4,337
2007-01-01,4.5,336
2007-04-01,4.5,335
2007-07-01,4.7,336
2007-10-01,4.8,332
2008-01-01,5.0,335
2008-04-01,5.3,335
2008-07-01,6.0,331
2008-10-01,6.9,340
2009-01-01,8.3,345
2009-04-01,9.3,345
2009-07-01,9.6,345
2009-10-01,9.9,344
2010-01-01,9.8,344
2010-04-01,9.6,342
2010-07-01,9.5,342
2010-10-01,9.5,341
2011-01-01,9.0,338
2011-04-01,9.1,336
2011-07-01,9.0,336
2011-10-01,8.6,335
2012-01-01,8.3,335
2012-04-01,8.2,337
2012-07-01,8.0,333
2012-10-01,7.8,333
2013-01-01,7.7,331
2013-04-01,7.5,335
2013-07-01,7.2,334
2013-10-01,6.9,334
2014-01-01,6.7,335
2014-04-01,6.2,330
2014-07-01,6.1,336
2014-10-01,5.7,336
2015-01-01,5.5,341
2015-04-01,5.4,339
2015-07-01,5.1,340
2015-10-01,5.0,345
2016-01-01,4.9,346
2016-04-01,4.9,345
2016-07-01,4.9,347
2016-10-01,4.8,349
2017-01-01,4.6,352
2017-04-01,4.4,354
2017-07-01,4.3,352
2017-10-01,4.2,345
2018-01-01,4.0,351
2018-04-01,3.9,351
2018-07-01,3.8,354
2018-10-01,3.8,355
2019-01-01,3.9,355
2019-04-01,3.6,358
2019-07-01,3.6,359
2019-10-01,3.6,363
2020-01-01,3.8,368
2020-04-01,13.0,393
2020-07-01,8.8,383
2020-10-01,6.8,377
2021-01-01,6.2,373
2021-04-01,5.9,371
2021-07-01,5.1,367
2021-10-01,4.2,363
2022-01-01,3.8,363
2022-04-01,3.6,359
2022-07-01,3.6,361
2022-10-01,3.6,364
