Country,ISO3,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,Human Capital Index,GDP per capita (PPP),Log GDP per capita,Population
Afghanistan,AFG,South Asia,Low income,0.93425,9.65539,357.79474,5.52743,0.61741,0.76612,0.41128,2076.13838,7.638264899097053,38972230.0
Albania,ALB,Europe & Central Asia,Upper middle income,0.99058,12.55878,424.34464,8.5268,0.88368,0.90782,0.608,13759.54243,9.5294878573007,2837849.0
Algeria,DZA,Middle East & North Africa,Lower middle income,0.97508,11.46793,365.75836,6.71118,0.87374,0.89836,0.51509,11438.69116,9.34475684929766,43451666.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,0.917,9.24362,326.81015,4.83346,0.58994,0.67691,0.36916,6362.636076,8.758198047820645,33428486.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,0.99303,12.65161,396.87491,8.03377,,0.87426,0.56758,19276.56881,9.86664558604035,92664.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,0.98919,12.70368,409.94238,8.33244,0.921,0.85453,0.59129,20763.28855,9.94094173273075,45376763.0
Armenia,ARM,Europe & Central Asia,Upper middle income,0.98633,11.07024,438.54852,7.76774,0.89144,0.82816,0.55585,14089.23938,9.55316662046895,2805608.0
Australia,AUS,East Asia & Pacific,High income,0.99599,13.58345,511.85153,11.12434,,0.93234,0.75712,53358.20808,10.88478309831648,25655289.0
Austria,AUT,Europe & Central Asia,High income,0.99615,13.39043,505.70737,10.83462,,0.91805,0.73302,55685.97029,10.927483514296027,8916864.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,0.97643,12.4802,412.33197,8.23357,0.82026,0.85132,0.56844,14478.52445,9.580421758122974,10093121.0
Bahrain,BHR,Middle East & North Africa,High income,0.99268,12.67257,433.54321,8.79057,,0.92878,0.62463,50468.2538,10.82909977996421,1477469.0
Bangladesh,BGD,South Asia,Lower middle income,0.96781,9.80885,366.71432,5.75527,0.68695,0.85076,0.45145,5897.588948,8.682298893491112,167420951.0
Belarus,BLR,Europe & Central Asia,Upper middle income,0.99618,13.84632,486.04813,10.76796,,0.78099,0.66674,20278.47395,9.917315205859964,9379952.0
Belgium,BEL,Europe & Central Asia,High income,0.99595,13.48101,516.14545,11.13306,,0.91483,0.749,53096.14142,10.879859538299689,11538604.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,0.90117,9.60849,384.09497,5.90491,,0.74429,0.39908,3360.987416,8.119990083594324,12643123.0
Bhutan,BTN,South Asia,Lower middle income,0.96761,9.76713,389.17249,6.08176,0.824,0.80536,0.46746,11124.66713,9.316920185687925,772506.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,0.99364,11.6569,411.65332,7.67776,0.91096,0.88629,0.56852,15336.9107,9.638017666113127,3318407.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,0.96017,7.72759,380.80655,4.70835,,0.75232,0.38842,14287.51059,9.567141049310141,2546402.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,0.984,,410.19888,,,0.81377,,14789.87856,9.60169834471779,213196304.0
Brunei Darussalam,BRN,East Asia & Pacific,High income,0.98751,13.04235,430.06543,8.97451,0.803,0.85758,0.60942,64977.30631,11.081793354224109,441725.0
Bulgaria,BGR,Europe & Central Asia,Upper middle income,0.99226,12.37232,432.01157,8.55198,0.93,0.81892,0.59759,24799.07454,10.118561614521296,6934015.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,0.91936,7.03415,407.06543,4.58138,0.72316,0.74393,0.3794,2208.398229,7.700022748471513,21522626.0
Burundi,BDI,Sub-Saharan Africa,Low income,0.93693,7.36983,414.95505,4.89304,0.42409,0.69344,0.37023,750.3130621,6.620490535569811,12220227.0
Cambodia,KHM,East Asia & Pacific,Lower middle income,0.96882,9.31715,,,0.66995,0.80268,,4510.372357,8.414134991616342,16396860.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,0.91882,9.12475,375.56287,5.48307,0.69474,0.68591,0.39793,3866.254472,8.260041480674976,26491087.0
Canada,CAN,North America,High income,0.99468,13.7338,529.52478,11.63582,,0.92717,0.78504,46572.13743,10.748757732067265,38037204.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,0.87742,5.2889,,,0.57026,0.55057,,894.1933731,6.7959220527905355,5343020.0
Chad,TCD,Sub-Saharan Africa,Low income,0.87451,6.21824,338.29596,3.36577,0.59116,0.62489,0.30785,1570.742918,7.359303982598692,16644701.0
Chile,CHL,Latin America & Caribbean,High income,0.99222,12.95125,450.85309,9.34258,,0.89416,0.63795,24849.70664,10.120601226223704,19300315.0
China,CHN,East Asia & Pacific,Upper middle income,0.99089,13.06347,441.0,9.21758,0.919,0.90756,0.64664,17189.28179,9.752041316817612,1411100000.0
Colombia,COL,Latin America & Caribbean,Upper middle income,0.98427,12.75109,422.9563,8.62905,0.85572,0.85012,0.59483,14854.52172,9.606059590811576,50930662.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,0.92729,7.99676,399.83398,5.1158,0.66927,0.75665,0.39733,3398.849344,8.1311922250892,806166.0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,0.90532,9.48457,311.88022,4.73288,0.54892,0.72908,0.36514,1101.250402,7.00420154229005,92853164.0
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,0.94576,8.71702,371.77655,5.18525,0.7762,0.72302,0.41059,3570.016965,8.180325626863233,5702174.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,0.99049,12.98593,430.92343,8.95351,,0.88875,0.61514,22117.92711,10.004143740123952,5123105.0
