Country,ISO3,Year,Rank,Index,Value,Human Development 2021,Region,Sources
Switzerland,CHE,2021,1,Human Development,0.962,Very high,Europe & Central Asia,https://hdr.undp.org/data-center/human-development-index#/indicies/HDI
Switzerland,CHE,2023,6,Passport Access,188.0,Very high,Europe & Central Asia,https://www.henleyglobal.com/passport-index/ranking
Switzerland,CHE,2022,11,Global Peace,1.357,Very high,Europe & Central Asia,https://www.visionofhumanity.org/
Switzerland,CHE,2022,174,Fragile States,18.9,Very high,Europe & Central Asia,https://fragilestatesindex.org/
Norway,NOR,2021,2,Human Development,0.961,Very high,Europe & Central Asia,
Norway,NOR,2023,6,Passport Access,188.0,Very high,Europe & Central Asia,
Norway,NOR,2022,17,Global Peace,1.465,Very high,Europe & Central Asia,
Norway,NOR,2022,178,Fragile States,15.6,Very high,Europe & Central Asia,
Iceland,ISL,2021,3,Human Development,0.959,Very high,Europe & Central Asia,
Iceland,ISL,2023,11,Passport Access,182.0,Very high,Europe & Central Asia,
Iceland,ISL,2022,1,Global Peace,1.107,Very high,Europe & Central Asia,
Iceland,ISL,2022,177,Fragile States,17.1,Very high,Europe & Central Asia,
"Hong Kong, China (SAR)",HKG,2021,4,Human Development,0.952,Very high,East Asia & Pacific,
Hong Kong (SAR China),HKG,2023,16,Passport Access,172.0,Very high,East Asia & Pacific,
Australia,AUS,2021,5,Human Development,0.951,Very high,East Asia & Pacific,
Australia,AUS,2023,7,Passport Access,187.0,Very high,East Asia & Pacific,
Australia,AUS,2022,27,Global Peace,1.565,Very high,East Asia & Pacific,
Australia,AUS,2022,168,Fragile States,22.7,Very high,East Asia & Pacific,
Denmark,DNK,2021,6,Human Development,0.948,Very high,Europe & Central Asia,
Denmark,DNK,2023,5,Passport Access,189.0,Very high,Europe & Central Asia,
Denmark,DNK,2022,4,Global Peace,1.296,Very high,Europe & Central Asia,
Denmark,DNK,2022,175,Fragile States,18.1,Very high,Europe & Central Asia,
Sweden,SWE,2021,7,Human Development,0.947,Very high,Europe & Central Asia,
Sweden,SWE,2023,4,Passport Access,190.0,Very high,Europe & Central Asia,
Sweden,SWE,2022,26,Global Peace,1.564,Very high,Europe & Central Asia,
Sweden,SWE,2022,170,Fragile States,20.9,Very high,Europe & Central Asia,
Ireland,IRL,2021,8,Human Development,0.945,Very high,Europe & Central Asia,
Ireland,IRL,2023,6,Passport Access,188.0,Very high,Europe & Central Asia,
Ireland,IRL,2022,3,Global Peace,1.288,Very high,Europe & Central Asia,
Ireland,IRL,2022,171,Fragile States,20.8,Very high,Europe & Central Asia,
Germany,DEU,2021,9,Human Development,0.942,Very high,Europe & Central Asia,
Germany,DEU,2023,3,Passport Access,191.0,Very high,Europe & Central Asia,
Germany,DEU,2022,16,Global Peace,1.462,Very high,Europe & Central Asia,
Germany,DEU,2022,167,Fragile States,23.6,Very high,Europe & Central Asia,
Netherlands,NLD,2021,10,Human Development,0.941,Very high,Europe & Central Asia,
Netherlands,NLD,2023,5,Passport Access,189.0,Very high,Europe & Central Asia,
Netherlands,NLD,2022,21,Global Peace,1.522,Very high,Europe & Central Asia,
Netherlands,NLD,2022,169,Fragile States,22.1,Very high,Europe & Central Asia,
Finland,FIN,2021,11,Human Development,0.94,Very high,Europe & Central Asia,
Finland,FIN,2023,4,Passport Access,190.0,Very high,Europe & Central Asia,
Finland,FIN,2022,14,Global Peace,1.439,Very high,Europe & Central Asia,
Finland,FIN,2022,179,Fragile States,15.1,Very high,Europe & Central Asia,
Singapore,SGP,2021,12,Human Development,0.939,Very high,East Asia & Pacific,
Singapore,SGP,2023,1,Passport Access,193.0,Very high,East Asia & Pacific,
Singapore,SGP,2022,9,Global Peace,1.326,Very high,East Asia & Pacific,
